CustomerID,CustomerName,Email,Phone,Address
e256c604-5919-4ef9-9fb7-c2dbc9c73160,Ian Nelson,craiglutz@example.net,661-838-2558x8084,"2679 Smith Passage
Jamesfurt, VI 53573"
883019ac-f164-4fb7-8c5c-656e1cb17c35,Howard White,sjohnson@example.com,870-339-8453,"6285 Garcia Neck
Morenoburgh, CO 49530"
f5e60b2b-2d2a-4b78-97f2-285a84b18497,Frank Santana,ncabrera@example.org,(378)316-1094,"9064 Sarah Creek Suite 984
Port Charlesburgh, PA 98753"
6fad92b8-5d60-4735-898e-c3adba5e29f4,Micheal Thomas,larsonjohn@example.com,353.760.7073x118,"16376 Erin Walks Apt. 574
Port Cherylbury, CA 42250"
845bbca4-6b76-4346-9f66-735f88555b17,Steven Mason,david30@example.org,(905)775-0856,"4618 Devin Unions Suite 265
Benjaminberg, OR 50244"
7c6e2346-1b77-409a-b884-fb105c6c20b6,Dr. Morgan Cross,britter@example.org,894-588-5358,"6869 Newman Green Suite 367
Lisamouth, OR 80087"
85ee5e36-a283-473d-846a-cf8dffa89aa6,Jeremy Griffith,millersharon@example.org,+1-437-223-3712x3184,"84414 Eric Glen
Timothyfort, IA 73069"
f7398e29-ee8e-4062-abac-7ebc2a07f7a6,Ryan King,edwardramirez@example.org,(967)987-6542,"704 Scott Path
South John, GA 58356"
26add6c5-f8cc-413c-90ec-a16d534344e9,John Stone,taylorfuller@example.net,(230)748-0765x4012,"Unit 1209 Box 6379
DPO AA 69840"
691967c2-eb5f-43e2-969f-c7895d5182dd,Angela Beck,sgomez@example.org,7856488350,"845 Ortega Square
Lake Stephaniebury, MA 63986"
fcc049b0-259b-4234-a238-39aeed5d2a35,Kevin Choi,beckynielsen@example.com,001-402-300-6068x02440,"558 Scott Trail Apt. 752
New Kimberly, PA 75007"
88f4d7c4-65c2-4d59-9862-36ca278c1ade,Timothy Williams,elang@example.com,633-282-4604x376,"954 Martin Lights
East Tamara, NE 86599"
55754b99-14ec-42c2-9791-03dc9e9bb24e,John Ibarra,feliciamoyer@example.net,500.629.9108x3448,"493 Galloway Keys Apt. 601
Sabrinahaven, TN 15011"
72dacc45-845d-4582-9b7d-4ec5c3e5d6e9,Francisco Johnson,colin27@example.org,761.265.6018x01653,"15680 Solomon Isle
West Allison, WA 63417"
03ceba97-a4d2-409f-b41c-ba081974b608,Olivia Ferguson,paula81@example.com,+1-642-752-3371,"39560 Jason Junction
Fosterberg, MP 97355"
66601a76-f359-4c09-a1b6-ac480792cd64,Rebecca Martinez,john98@example.com,(779)856-1653x8708,"2341 Katherine Shoal Apt. 965
West Martinmouth, RI 53744"
65bcd96a-9ebf-4fcb-b418-fa05e9dee5bf,Frank Anderson,monicapotter@example.org,+1-998-267-6904,"071 Reed Village
Port Darrell, IL 43170"
6ec10b89-1dcc-4b00-8c31-7d768f08ec88,William Bullock,othomas@example.org,832-612-9245x232,"529 Nathaniel Ranch
Amymouth, NC 67136"
79630fc3-f6b7-424a-9c25-6cde3e0352fa,Susan Jordan,danielclayton@example.org,7703887444,"21993 Troy Locks
Allisonview, IN 46795"
3fc775b5-cd50-41cc-9094-10febe738bfd,Alicia Lara,pamela24@example.net,631.239.0629,"474 Frederick Center
Port Lisa, ID 78412"
2871423f-3360-499a-b3bd-79563e0985e2,Lori Gomez,wilsonandrew@example.com,3728809697,"38800 Jeffery Mill
North Todd, MI 30407"
b7dc761e-8f2a-4290-9b9d-018519dc1f64,James Allen,qfoley@example.org,+1-810-645-9196x806,"56509 Brian Underpass
Wagnerside, VA 95783"
7255bbea-79ed-47a6-b178-2e1127617210,Crystal Parsons,qfletcher@example.org,001-317-243-3718,"419 Bowen Crest Apt. 185
Heatherview, AK 49104"
e4bed504-7389-4150-a1b7-29a2488677c7,Matthew Moran,coleandrea@example.org,+1-559-744-7612x300,"829 Hunt Way Apt. 327
New Mindy, WI 41355"
20739cd8-3c7f-4512-a5b8-614fa9a64d07,Taylor Brown,melissajennings@example.com,(883)427-0644,"82911 Claudia Place Suite 808
New Bryan, WA 98919"
1a8e8d3c-f421-4f46-9dc4-c510f3341259,Sharon Wright,reedmeagan@example.com,(273)503-2155,"8483 Julie Stravenue
Dylanshire, LA 35215"
8e5c94dd-cbfe-4400-b520-d4a3324f60ce,Calvin Perry,oliviasanchez@example.net,(241)873-8027,"605 Eaton Mall
Lake Cristiantown, NY 13670"
9531cc7a-4f11-49a0-955d-9cbe19ec2316,Casey Peterson,mpeters@example.com,(232)290-6293,"36216 Daniel Meadows Apt. 311
Patelfurt, MP 13156"
